,Topic,Document
0,Topic 0,Climate and Land Use Change
1,Topic 0,Preparing for climate change in Washington State
2,Topic 0,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems
3,Topic 0,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems
4,Topic 0,The Western Mountain Initiative: Vulnerability and Adaptation to Climate Change in Western Mountain Ecosystems
5,Topic 0,Chapter 2 The Climate System and Climate Change
6,Topic 0,Regional modeling of climate change impacts on smallholder agriculture and ecosystems in Central America
7,Topic 0,Resource management in a changing and uncertain climate
8,Topic 0,Fisheries governance in the face of climate change: Assessment of policy reform implications for Mexican fisheries
9,Topic 0,Water Security and Climate Change
10,Topic 1,"A Method for Spatially Explicit Representation of Sub-watershed Sediment Yield, Southern California, USA"
11,Topic 1,Modern climate and erosion in the Himalaya
12,Topic 1,"Influence of topography and human activity on erosion in Yunnan, SW China"
13,Topic 1,"Increased late Pleistocene erosion rates during fluvial aggradation in the Garhwal Himalaya, northern India"
14,Topic 1,Quantifying human impacts on rates of erosion and sediment transport at a landscape scale
15,Topic 1,"10Be constrains the sediment sources and sediment yields to the Great Barrier Reef from the tropical Barron River catchment, Queensland, Australia"
16,Topic 1,"Influence of topography and human activity on apparent in situ 10Be-derived erosion rates in Yunnan, SW China"
17,Topic 1,Spatiotemporal trends in erosion rates across a pronounced rainfall gradient: Examples from the southern Central Andes
18,Topic 1,Using in situ cosmogenic 10Be to identify the source of sediment leaving Greenland
19,Topic 1,Long-term erosion rates of Panamanian drainage basins determined using in situ 10Be
20,Topic 2,"Case study of spatial and temporal variability of snow cover, grain size, albedo and radiative forcing in the Sierra Nevada and Rocky Mountain snowpack derived from imaging spectroscopy"
21,Topic 2,MEASUREMENT AND SIMULATION OF THE SNOW PROPERTIES AT AN ALPINE VALLEY SITE
22,Topic 2,Fusion of MODIS VIIRS and Landsat snow cover data to create high spatial and temporal resolution estimates of snow water equivalent in a well-instrumented and austere basin
23,Topic 2,IMPROVED SNOW DEPTH RETRIEVAL ALGORITHM IN CHINA AREA USING PASSIVE MICROWAVE REMOTE SENSING DATA
24,Topic 2,Assessment of methods for mapping snow cover from MODIS
25,Topic 2,The potential of estimating snow depth from QuikScat scatterometer data and snow physical model
26,Topic 2,Snow Cover Depletion Curves and Snow Water Equivalent Reconstruction
27,Topic 2,Remote sensing of snow in China
28,Topic 2,Error Analysis of MODIS Fractional Snow-Covered Area and Snow Albedo in Mountain Regions
29,Topic 2,Error Analysis of MODIS Fractional Snow-Covered Area and Snow Albedo in Mountain Regions
30,Topic 3,Optimized Soil Moisture Sampling Design to Represent the Impact of Annual Climate Variability on Dominant Ecohydrological Orecesses in Snow-Dominated Watersheds
31,Topic 3,A Method to Rebuild Historical Satellite-Derived Soil Moisture Products Based on Retrievals from Current L-Band Satellite Missions
32,Topic 3,Plot  and watershed scale soil moisture variability in a humid Piedmont watershed
33,Topic 3,A QUANTITATIVE MODEL OF SOIL MOISTURE AND INSTANTANEOUS VARIATION OF LAND SURFACE TEMPERATURE
34,Topic 3,Analysis of spatial distribution and multi-year trend of the remotely sensed soil moisture on the Tibetan Plateau
35,Topic 3,Estimating Sahelian and East African soil moisture using the Normalized Difference Vegetation Index
